63538321-2862-u	these aren't used
47784239-2470-nu	I'm kind of confused about what's going on here. I don't think anything in the datastore is currently keyed with 'Account:customerId:\<customer_id\>', so isn't this only checking against accounts that are in the csv and have already been processed?
47788275-2470-nu	You are incorrect.  The Unique kind has lots of entries with the format "Account:customerId:<customer_id>".  These are used to ensure uniqueness of a customer ID value within the system.
47791569-2470-nu	I'm still not sure why we're doing this all unique entity handling manually rather than using the built in Account.updateUnique which does it all for us?
47791645-2470-nu	@cgooding-va that's the unique entity's key, which we use to make sure we don't have dupe customerIds
47520060-2465-u	could you change the values here from `True/False` to `'published'/'unpublised'` that was the comparison later on isn't against the string `'true'/'false'`
47520617-2465-u	I'm pretty sure a request of `None` would work here, or an empty dict. I think one of the two would work.
47572185-2462-u	Could probably be ``` === ```, yeah?
47643593-2462-u	Hmm... You're right. The server needs to receive an unpublished Flag. Would you mind fixing this function in your PR? Something like ```              else if (field.name == 'publishingStatus') {                  // convert to boolean                  if (field.value() === 'published') {                      published_flag = true;                  } else if (field.value() === 'unpublished') {                      unpublished_flag = false;                  } else {                      published_flag = null;                      unpublished_flag = null                   }              } ```
47645705-2462-u	``` == ``` does type-coercion to check equality but, really, you know you want a string so why not do strict equality (``` === ```).  I don't really care, it's just Much More Betterâ„¢.  
47650129-2462-nu	i know the other tests use the toEqual expectation, but I think they should probably be using toBeTruthy and toBeFalsy. Not too important though
47325242-2450-u	shouldn't we be setting `account.salesPerson.updated` here too? it doesn't look like it was getting set before either
47161711-2445-u	any chance you'd be able to use getBySrid instead here? RepInt accounts are keyed off srid so it's a cheaper/faster/consistent lookup as opposed to getByAgid which is doing a query instead of a key.get()
47258705-2445-u	This expected format comment shows a header line but your sentence above says "without headers".  Just to be clear, change this to: ```         expected format:         AG-1234,cust-1234         AG-5678,cust-5678""" ```
47258985-2445-u	Why are you accepting two different key formats?  Also, I don't think you can use a `csv.DictReader` without headers. How would this `.get('key')` know which column in the file has that key? This code looks like it is expecting CSV headers.
47259233-2445-u	What does `updateUnique` do?  Why not just: ``` account.customer_id = customer_id account.put() ``` ?
47259452-2445-u	This line is very awkward. We are building a customer ID and storing it in a `customer_id` variable but that function takes in an arg also called `customer_id`. Why is the original value of the variable not good enough? I thought customer IDs were just strings anyway, what could this `buildCustomerId` function possibly be doing?
47292312-2445-u	Why did you change this from using updateUnique? I know @jwebb-va asked why we were using it but there is a reason to do so... it handles the updating of the unique entity for you and also ensures that it's in the correct format (pid/id). So you can replace about 15-20 lines here with the one call to updateUnique instead.
47158152-2444-nu	It would better to put this in a separate method so it can potentially be reused instead of explicitly doing it here. Also I would probably prefer to split on `-` if that's an option in case you get prefixes that are more than two characters in the future.
47158274-2444-nu	Also doing something like `ssid.starswith('TW')` below might be a little cleaner/clearer imo.
47158578-2444-u	I'd say `generate_content` is a bit too ambiguous here. Even within the context of this module it's not clear what this actually does or returns. Even something like `generate_review_share_content` would be much clearer imo.
47158625-2444-u	Why not just `{}`?
47160039-2444-nu	I don't know about other people, but it wasn't immediately clear to me whether this was the cursor to _get_ the current page or the _next_ page (returned with the result).   I feel like moving this below `process` (to indicate it happens after) and a small comment about how it results in the next url getting added to the response data would make this clearer (at least to me).
47188309-2444-nu	this is always a tricky thing, when you have to 'pool' exceptions. I kind of like taking the approach where we shove the raw exceptions into the list, keep going, and then at the end if there are any exceptions in the list, we raise some kind of generic SR-specific ComposeException that takes the list of exceptions as a parameter and deals with the logic of expressing itself internally.  ``` for ssid in ssids:   try:     result = client.postToServiceV2(**service_kwargs)   except Exception, e:     exceptions.append(e) if exceptions:     raise ComposeFailedException(exceptions) ```  that way we are still playing by the idioms of try/catch, instead of manually checking return values in a wrapping method to determine if something went wrong.
47358275-2441-nu	This is pretty minor, but I would prefer to create this model in a setup method and then just tweak the `reviewAdviceDismissed` param as you need for each test.
47358434-2441-nu	I believe you can specify a list of `choices` which I think would be a good idea to make it clear which values are valid or this string property.
47358780-2441-u	Minor, but is it necessary to wrap all these methods around `function () {...}` if you aren't passing any "custom" args? Can't you just `click: $root.showTrendOrWordCloudAdvice`?
47358991-2441-nu	Can you be consistent whether you are including the `()` or not? I prefer to just include it for all knockout observables so it is clear it _is_ an observable. There are a few lines above as well that could be adjusted.
47359198-2441-nu	I think this is incorrect. The account needs to exist in order for you to execute the process method below. Why couldn't you use the default `BaseAjaxHandler.check_credentials` method?
47359251-2441-nu	Why not just use `self.help_tag`?
47359269-2441-nu	Why is this called `help_tag` but named `ADVICE_TAG`?
47359305-2441-nu	I don't think there is a reason to use `list()` just stick with `[]` please.
47361142-2441-nu	Can we just do `onDismiss !== undefined`?
